Id,OptionType,Strike,Spot,TimeToExpiry,RiskfreeRate,MarketFearIndex,BuySellRatio,OptionPrice
103,Call,80,130.5869355,1.99155034,3.578232,50.3907015,2.901155992,53.96166971
104,Call,60,96.90627646,0.871994882,3.216679,52.68291532,2.789901148,37.44994119
105,Put,100,118.1521988,0.551897083,5.1467498,89.14933818,0.403532297,1.565652197
106,Call,70,56.18858339,0.371127543,5.5730658,11.69143188,2.146770307,0.150038594
107,Call,70,131.9849931,0.824031476,3.2951653,72.97654809,2.106968544,61.82223176
108,Call,70,134.5658635,1.089959686,3.4591337,85.7404645,2.169857811,64.94647169
109,Call,130,114.6565804,1.043468003,5.8953454,78.07213987,1.398161794,13.41115456
110,Call,140,138.6384666,0.72877449,4.0236724,8.509908115,0.446851318,2.90346312
111,Call,70,143.6810313,0.624692782,2.3709254,15.74232524,1.774224125,72.59778424
112,Call,130,111.7786658,1.494056564,2.7600247,75.67262558,1.943446949,18.29919585
113,Put,100,104.9940194,1.983877872,4.1970695,50.10389404,0.618505131,7.715248022
114,Call,70,109.2549201,1.088439247,3.8508096,89.4839874,1.586447014,41.92485958
115,Put,120,110.1981115,0.832102501,5.642245,12.80206618,0.802261216,11.00593195
116,Call,150,118.7312004,1.851971188,3.2553776,34.32817958,3.474265591,14.82377765
117,Call,60,87.41739005,1.669906634,2.7631319,24.59438294,3.204161208,28.64274841
118,Call,80,138.828367,0.827965967,5.1916497,84.86300093,1.928037047,57.97706845
119,Put,70,117.8889292,0.379037057,5.2942573,2.285294884,1.413149258,3.46E-13
120,Put,150,67.18827135,1.579534163,2.968418,6.703788727,0.404608577,79.01854132
121,Call,50,122.017747,0.425754086,3.8262259,20.09918467,0.563533886,70.85405953
122,Put,110,120.5204535,1.142811945,2.5473296,31.33858697,2.492920198,10.89474091
123,Put,130,106.6368896,1.996989631,2.362874,33.65176789,1.49210492,30.33930973
124,Put,140,98.15169559,1.1073128,4.6792869,39.58292965,1.76944421,41.93596749
125,Call,110,129.2309169,1.00020842,3.9292658,27.14711144,3.741563053,26.59016513
126,Call,100,104.1648943,0.805136766,2.0740608,15.79993118,3.585441717,13.14739803
127,Call,90,119.577992,1.906268059,2.5497776,46.44467805,1.695870149,33.32997104
128,Call,90,68.03628538,1.361435752,2.4607087,12.72598094,1.863989413,1.072337561
129,Put,100,75.14366882,1.741386101,4.4347387,44.35800918,3.500077616,31.64328565
130,Call,140,99.63326655,1.470653773,3.9615534,21.63736198,3.620379141,4.422022215
131,Put,60,113.9219402,0.900231954,3.5137257,42.03078075,3.975367905,1.042649678
132,Call,130,75.06686385,1.458221262,4.2410585,73.24769447,2.462008506,6.688856679
133,Put,100,67.8599672,0.461968891,4.9541386,11.82068428,0.53055141,31.41281095
134,Put,130,119.8550127,1.088087237,2.706265,96.29526734,0.580477623,21.09842871
135,Put,90,56.17203956,1.462879502,4.8692358,37.71399525,0.683528245,31.59855344
136,Put,110,104.9993519,1.590048015,3.3163999,70.82694048,1.278263418,21.35824117
137,Put,90,57.90991777,1.734855226,2.9456831,53.63376912,3.803648481,37.44506363
138,Call,90,67.12747079,0.916818706,4.712969,86.96132074,0.738500839,2.214981893
139,Put,80,65.21487967,1.591586582,5.0783164,5.465608446,3.440963192,15.88640277
140,Put,90,52.72234815,1.286373916,2.3565388,46.31046217,0.298143291,36.16483106
141,Call,90,85.69988661,0.784222369,2.2712857,62.95238433,2.879808841,13.3156389
142,Put,140,143.3204342,1.12981107,5.2531651,92.02485146,3.454465321,36.35021899
143,Put,150,98.2114933,1.076770354,3.4540586,10.67271242,3.308152589,50.68164974
144,Call,120,97.65214699,0.482523952,3.9781017,13.4424384,0.715174063,0.010203424
145,Put,150,120.3713407,1.353492316,2.5511746,80.28123669,3.169734451,50.39899653
146,Call,50,111.0571821,0.967967445,3.5792682,48.80853158,0.676902632,58.97817078
147,Call,50,92.88877055,0.950523399,2.5948918,45.40303022,0.335167898,41.84386607
148,Call,60,90.02249446,1.252039673,2.6021961,66.81416844,3.023888253,36.13467187
149,Put,80,51.88305334,1.314462916,3.7968305,85.45823491,2.205577705,30.80046073
150,Put,80,94.50102331,1.906698137,5.4722737,65.36658511,0.64758927,5.432106811
151,Call,90,131.4580855,1.047129225,3.0711535,68.14598529,2.589578746,48.25385848
152,Call,100,136.3389079,0.434833875,3.9152968,60.54779927,2.356472168,38.69952785
153,Put,60,129.5850904,1.310014645,4.0814944,99.23457174,0.447400126,0.023954809
154,Put,120,122.5695263,1.606745065,5.253052,23.0358789,2.28953932,12.37200644
155,Call,100,120.7539292,1.863371277,2.1185769,69.02359769,3.678744553,42.33182025
156,Call,60,50.04220107,1.049847851,4.7674758,87.26654668,1.945017931,6.855351659
157,Call,100,63.53890973,1.963237485,5.7493573,60.82016359,0.983014854,1.416983895
158,Call,120,73.22979456,0.802039939,5.7256698,19.64492186,0.687819829,0.00000671
159,Put,150,56.24655691,1.808795506,3.8754975,59.61685212,3.150712348,89.13853404
160,Call,60,50.01830785,1.545074155,5.0550762,67.15870714,1.134238805,3.717566723
161,Call,130,74.70494844,0.56017466,5.3818729,82.65397936,1.627639502,0.769956444
162,Put,90,107.127333,0.529042555,5.1986282,71.01384138,0.554260782,1.395657079
163,Put,80,134.5497092,0.542312835,5.2997723,31.5444481,3.336592898,0.401147271
164,Put,90,132.3605768,0.421112666,5.985583,79.60894814,0.280479215,0.002100524
165,Call,100,114.4232442,0.59347269,4.3568624,41.76043279,0.34558237,14.39863637
166,Put,140,75.54083358,1.660940127,4.300376,84.10751538,0.733498608,61.32463459
167,Put,100,70.99840463,1.011549342,5.5048858,69.64399694,3.540224737,35.37805684
168,Call,110,55.64059298,1.475820912,3.1901297,3.376937093,3.431735698,0.012609965
169,Call,120,111.0670283,0.601582187,5.9722723,86.24890294,2.504634334,16.99565978
170,Call,110,84.39982465,0.562546955,3.5077659,39.61816987,3.951038597,4.255051638
171,Call,70,68.05667683,1.635450166,4.8208377,47.34693483,1.11157987,8.211209013
172,Put,130,83.44598838,1.098756047,4.7969868,98.07566332,0.622482881,45.87520216
173,Put,50,100.6440448,1.16000358,2.4059877,95.56424027,2.871659665,3.549510136
174,Put,50,67.93992013,1.872769133,2.660925,82.18973018,2.421115413,9.4681105
175,Call,140,60.94413708,0.55831919,5.3006751,55.14784692,1.333316438,0.001771471
176,Call,150,58.43930101,0.872218094,3.4601193,65.68245887,2.718701737,0.305256979
177,Put,150,132.001206,0.26084578,2.7098462,52.11093381,0.924783972,19.49253374
178,Put,100,83.53080309,1.764492962,5.7749411,19.08806177,0.995164234,16.6863287
179,Call,100,124.0842857,1.344742052,3.4328669,62.97496956,0.312601624,24.12798524
180,Put,100,87.09568258,0.936353076,3.0754747,86.67681332,0.520305263,17.0595079
181,Call,100,92.26022409,0.289507884,3.984939,18.12428233,0.826971347,0.426637994
182,Put,50,94.20017347,1.626498468,5.0099027,54.8207938,1.830384389,1.387276889
183,Put,120,98.00643347,0.606061201,3.7388477,19.91582373,2.630981275,22.85308878
184,Put,120,99.93053616,0.561131003,5.0357376,62.47599111,1.604406334,23.70300033
185,Put,120,81.79850476,0.434869425,5.6086386,17.61625456,1.964269372,37.2896978
186,Put,80,134.987457,1.239802001,2.9054624,66.80296309,1.362291919,1.97177885
187,Call,110,146.0104823,0.833899009,5.6803795,55.97097923,2.984598319,40.4275658
188,Call,100,81.6249622,0.556252178,4.2316041,43.28799866,0.660501281,0.389167391
189,Put,120,126.5450233,0.763664796,3.6030556,77.23903729,1.237066537,11.19901756
190,Put,150,119.7104185,1.363057316,4.3679102,97.23554056,0.320200312,31.624428
191,Call,150,67.54378019,1.872635336,3.7639423,20.89477674,2.002559552,0.0596744
192,Call,80,105.4799365,0.805903692,3.2072095,57.22481523,3.313211836,30.09341971
193,Put,110,100.4511822,1.710969319,2.7911476,11.34760644,1.647134688,14.70765177
194,Put,80,112.5088805,1.5290528,5.9692204,80.48524463,3.542732131,14.49123818
195,Call,70,64.32424696,1.827999443,2.9042794,33.78862574,2.988352047,8.956263152
196,Put,80,70.2592278,1.684709465,3.8260484,54.75612397,1.44809234,17.45058764
197,Put,120,142.6349686,0.691549194,3.9435869,42.13014999,2.203476269,5.978259936
198,Put,130,63.87691935,1.42515483,2.8453014,35.32938534,2.284001791,63.75465041
199,Call,60,91.3310228,1.679523567,2.5789702,96.47000353,2.359077507,40.35109147
200,Call,140,122.2346475,1.039438742,3.5387259,80.31824903,2.190487158,16.51511281
201,Call,70,149.0755955,0.384785466,2.4507163,34.18437545,3.533993031,78.33713253
202,Call,150,57.2733474,1.044653313,2.054173,93.51511316,0.450528216,0.002222917
203,Call,120,124.5947539,0.699941544,3.4849384,97.63197978,3.656999159,30.30563285
204,Put,70,133.772122,0.602380608,3.3742907,89.021742,1.34230265,0.183140555
205,Call,110,139.3911928,1.137441628,5.7636239,55.49458084,2.540873097,36.61881572
206,Call,60,121.5100401,1.266535102,4.3424525,98.92160418,1.694608009,60.78079666
207,Call,130,146.3760967,1.203117717,3.4347542,46.53511888,2.162121754,30.21196796
208,Call,70,111.3492248,1.586735305,5.032943,41.156644,0.937921032,38.57269351
209,Call,120,78.96278615,0.289686105,2.2118158,95.96665858,2.377097281,1.871884886
210,Call,130,93.10531768,1.151665731,2.8848938,60.04142692,3.332547934,9.052140658
211,Put,50,136.7708485,1.251143838,4.8056355,56.36200299,1.731573108,0.035093587
212,Call,90,136.2135301,1.055818361,3.8190651,48.90844699,1.303161705,45.1208146
213,Call,120,69.32989431,0.834747958,5.4194164,20.26894988,2.931036119,0.05835475
214,Call,100,109.9140988,1.92661736,4.330417,70.69222029,0.575351343,17.13591038
215,Put,80,62.34550152,1.359189688,5.7525164,79.07826138,2.424894888,25.94805051
216,Call,50,65.41699213,1.537477157,4.5787386,47.97523035,1.275232635,16.52093509
217,Call,130,55.12887972,0.998091443,3.9745864,4.616791006,2.928833379,0.0000344
218,Put,90,131.6313396,0.996450951,2.0846038,75.05627339,2.059813365,4.955715195
219,Call,110,123.2817145,0.505613214,2.4064435,47.69172331,2.374794433,19.484651
220,Put,90,95.61907122,0.437145333,4.7649505,7.855965787,1.964500623,1.668549475
221,Call,100,63.9773549,1.824239721,2.3388512,3.412558925,3.358180644,0.323346141
222,Put,130,123.6087658,1.318644821,3.5007609,78.65065722,1.470928858,24.58273845
223,Put,150,58.92954551,1.585150876,3.0063842,49.20275932,2.991158411,87.33610524
224,Put,60,63.73186557,1.954303955,3.6290436,99.05296565,2.708724157,18.8603511
225,Put,80,90.85163831,0.919541381,5.1713599,10.2625789,2.628204372,2.246260276
226,Call,60,128.3665293,1.380322275,4.8870408,67.80653161,0.450911822,63.90800389
227,Call,60,59.26833404,1.598584425,2.7701991,85.75863805,1.434954303,10.65789818
228,Call,100,60.39364761,0.492069525,5.7250002,21.80932809,1.597202537,0.000371581
229,Call,50,96.81062157,0.978589903,3.8016762,4.681536508,2.324848195,45.10160412
230,Put,80,128.5136688,1.553630842,4.5086761,78.9324788,2.312216018,8.314436584
231,Put,80,125.6203461,0.68100712,3.8319169,56.64734743,3.113004763,2.986904995
232,Put,100,123.44698,1.965473686,3.7098661,52.12202083,2.307975671,14.25385025
233,Call,90,113.5867903,1.668146265,5.9666679,20.88643595,3.844283728,28.27979891
234,Call,100,92.47006947,0.465993163,3.8586728,22.40874027,1.488746712,2.608689967
235,Put,150,144.3606041,0.51956548,4.295533,96.57349494,2.179631318,24.63585431
236,Call,150,93.74576915,0.455522921,4.124802,43.05008909,1.240770919,0.030792337
237,Put,50,137.9555228,1.783138079,5.2281712,95.32668172,1.224541071,0.979489638
238,Put,150,120.4925586,1.136108024,3.7444335,76.23787088,3.99345325,52.44417023
239,Put,90,137.4705214,1.81655727,5.9133506,25.44938692,3.665359475,4.802186975
240,Call,140,114.5164603,1.27435499,5.4961255,12.53966445,0.665501525,0.277208446
241,Put,70,125.7379089,0.977692155,3.1562575,55.14308949,2.71462797,1.844643565
242,Call,60,104.4461527,1.922469603,4.6865797,95.22065031,2.044174182,46.86829777
243,Put,130,100.3303033,1.065416226,3.3968872,82.9425608,2.661249336,40.60514034
244,Put,150,94.8329364,0.658084992,5.3696252,2.780780586,2.368208277,53.25329893
245,Put,110,134.2849446,0.93160181,2.8342504,27.98939691,3.017936307,4.795676202
246,Put,70,96.59466192,1.375612321,2.9493781,98.42420643,1.851909604,7.823400366
247,Put,130,82.02417433,0.584817346,5.2061225,73.13213982,2.035119238,47.96674804
248,Put,70,68.15882295,1.600596662,2.5642867,59.39016745,0.348200735,6.062098727
249,Call,70,124.9489378,0.857118107,2.8035372,50.23960856,1.78291475,54.0388143
250,Put,140,69.52471266,1.127904167,2.2864124,15.36744982,3.166508559,68.7343297
251,Put,140,88.05435963,1.903333988,2.6152331,66.22378776,1.27818148,53.54522729
252,Put,120,119.0692794,0.696840291,4.2304436,53.40093274,3.416156512,17.63103979
253,Put,60,142.2156923,0.342268374,2.1151321,67.54332392,3.344111788,0.073776552
254,Put,80,75.38875125,1.961574492,5.5881663,48.47267248,3.091164959,20.25077402
255,Call,140,138.9205841,0.42209799,5.5089265,59.40532347,3.058814169,17.11017205
256,Call,50,105.7429748,0.289210181,3.5788542,86.79512114,3.887052928,55.41569436
257,Put,140,113.3997936,1.667023669,5.1719267,84.37973944,2.563554666,46.77716862
258,Call,60,121.8025549,1.421599326,5.1543747,61.01019712,1.679695754,57.99921525
259,Put,50,107.1515665,1.472572373,4.6116192,87.48387198,0.474295613,0.082772136
260,Call,80,54.90263035,0.93957399,5.1704927,52.0145462,1.196879298,0.827091364
261,Put,140,72.81557687,1.89286362,5.1379504,68.18524306,0.456788764,61.00626967
262,Call,120,104.7803073,1.335711804,4.1577619,56.62419447,3.665641748,18.04200205
263,Put,80,50.71762184,1.04952703,3.1004923,81.8041574,3.978199343,35.3994299
264,Put,90,91.91102798,1.555352432,2.4215409,25.8892918,2.131332367,9.802768875
265,Put,130,51.39381737,0.353174152,3.4195393,65.38320075,2.067966842,77.66376963
266,Put,110,110.0017114,1.064500959,4.9133867,87.71097798,1.034121764,14.95594249
267,Put,120,98.3127113,0.555220891,5.0406638,71.97136074,0.594512263,22.38982797
268,Call,70,111.5733292,0.844955651,2.7359533,82.83009335,2.635040058,45.01943748
269,Put,150,92.18438202,0.972210336,3.250954,54.15391657,0.61779608,56.07256174
270,Put,150,131.9300354,1.472060767,4.2033253,76.92694405,1.486174673,34.38096577
271,Call,60,139.4217724,0.64563953,2.1875381,86.4566758,2.459889388,78.86181895
272,Call,140,75.29398317,1.041493236,2.1549843,63.9420211,3.258540319,2.937574843
273,Call,120,94.7554037,0.815910208,2.2170134,95.99365176,2.289640629,11.46448249
274,Put,100,113.1952402,0.583160905,4.0092042,26.05003254,0.442011552,0.442284654
275,Put,150,109.4576972,1.43297667,2.7802091,13.44707652,1.986462375,40.56550206
276,Call,90,79.64460352,0.996394389,2.6036515,40.44192291,1.240518542,3.87361819
277,Call,50,81.99554306,1.643894708,4.1615804,94.70834241,0.724209638,30.93976351
278,Call,150,86.20721501,1.819919417,2.2180094,88.07115186,0.51415937,0.719733804
279,Put,80,55.14985572,0.784156434,3.1625377,21.79854361,1.6924481,24.43460022
280,Put,100,103.39656,1.84718371,2.3549652,93.32698841,3.020621219,32.9083983
281,Put,80,107.9030581,1.607112283,2.1090203,8.330957595,2.104080004,1.307835013
282,Call,80,77.0999074,1.815818466,3.4938244,97.72689739,3.254384161,26.62293576
283,Call,70,70.9686208,1.237405631,4.8829654,67.42358996,2.066569376,13.1677486
284,Call,50,60.34274664,0.423623307,4.9883384,64.01924945,3.655440324,13.80934505
285,Put,100,123.8697839,1.594424399,5.5422996,35.59814604,3.083972318,11.14795538
286,Put,50,62.77587679,1.720847568,5.8775939,56.13219895,3.289883995,7.06480449
287,Put,80,105.5185451,0.664467395,5.8859827,15.77292408,0.660325418,0.003519433
288,Call,150,99.27773228,1.371524822,5.5242717,65.56477648,3.211098033,8.368574017
289,Call,150,145.8813908,1.49435111,5.1156089,36.13222031,0.396329254,7.436098779
290,Call,130,52.50291182,1.522484738,2.4445405,18.44988003,2.598073926,0.014653864
291,Call,110,81.68987645,1.558054905,5.6548537,51.70798446,0.443560301,0.782630085
292,Call,130,103.0919293,1.055294984,2.0986507,59.88155226,1.722924221,5.841868954
293,Call,110,146.2231481,0.876261636,2.0010711,42.11869104,2.136808344,39.45613395
294,Call,70,63.26241695,1.832318464,5.8687457,18.58786469,1.605593199,3.223906176
295,Call,140,114.7085835,1.677033004,3.8794389,69.09770922,2.469500831,19.16696195
296,Call,90,124.8104453,1.950951206,4.0879471,37.09646745,2.180158812,38.49526599
297,Put,110,138.8102716,1.315375326,4.5244076,90.6800516,3.203029483,21.04694712
298,Call,80,101.3216496,1.828777463,5.1580328,19.10242151,1.68378628,21.53512497
299,Call,100,71.1110732,0.572835688,4.0932734,99.03693563,0.796158986,1.085337707
300,Put,150,80.01444836,1.464230277,5.780166,63.8085581,2.584353439,67.52446642
301,Call,130,102.3934867,1.59151391,5.6901478,18.95476254,2.820187298,5.742339414
302,Put,60,84.95758752,1.73386207,5.5706227,21.56986568,3.164592852,1.941877247
303,Put,150,61.83221019,1.184873829,2.5754275,7.709901107,1.56910641,85.51793636
304,Put,140,76.05020675,1.58139995,5.786076,1.292829593,0.661267179,58.35804901
305,Call,130,111.769074,0.98777444,5.432594,62.43118565,2.669475913,14.22333355
306,Call,80,95.2835399,1.608670409,5.5918835,89.31395523,2.384224677,30.5771437
307,Put,50,131.1371329,0.726227389,2.0859632,30.19092826,3.629734796,0.014261636
308,Call,60,59.80212466,1.396239855,4.4344798,72.66397233,3.563041866,14.03411889
309,Call,50,87.83150591,0.305489863,4.5126317,74.00950463,2.184056013,37.38450071
310,Call,130,116.9347533,1.503140956,2.9104262,79.63993236,2.925432146,25.79625251
311,Call,90,123.6243191,1.602566936,4.6316936,62.80434762,2.605015958,40.1921316
312,Put,70,113.9304266,0.729994504,3.8992075,51.98673113,0.709207132,0.046788741
313,Call,70,128.6487332,1.149638411,3.4164791,3.800148109,3.542752908,56.42635146
314,Call,100,130.9220775,1.015694473,2.2171082,12.04763359,0.420351507,30.23632685
315,Call,50,93.83862029,0.383467766,2.6239332,28.04111395,2.565447715,43.40187163
316,Put,120,145.245363,0.386470376,5.4668563,8.173196202,1.067817668,0.012814512
317,Call,70,73.04827993,0.967594647,2.0755867,0.531504371,3.561586668,6.565561567
318,Call,120,119.3149842,1.566003781,4.1081112,21.25994871,3.274612006,16.35675197
319,Call,150,135.5442549,1.415990949,2.9589186,93.7675231,1.911412327,27.47523392
320,Put,70,113.406078,0.310362989,2.1755855,40.59000013,1.794766981,0.016594295
321,Put,150,98.98048368,0.478374548,3.84205,52.54695731,2.284235223,51.20139852
322,Call,140,146.9656229,1.209585299,3.6106484,40.76112675,1.354572699,19.12616806
323,Call,140,103.9582393,0.506432781,5.9201602,25.4973288,0.499365777,0.000247556
324,Call,60,93.00834185,0.925063764,2.4918895,0.880865275,1.405836821,32.25657943
